Jahr,Kanton,Total,1,2,3,4,5,6+
2018,Schaffhausen,13.4,17.3,14.8,13.5,13.1,12.1,13.4
2018,Appenzell A.Rh.,13.0,11.5,15.8,12.8,12.8,12.8,11.5
2018,Appenzell I.Rh.,13.7,14.8,14.3,14.4,13.3,12.6,
2018,St.Gallen,14.1,17.2,15.1,14.5,13.6,13.3,12.0
2018,Graubünden,15.0,17.0,16.5,15.6,14.5,13.3,12.2
2018,Aargau,15.1,17.8,16.5,15.6,14.5,13.7,13.9
2018,Thurgau,13.3,15.0,15.1,13.7,12.8,12.2,12.2
2018,Tessin,13.7,12.6,13.6,13.7,13.9,14.0,15.8
2018,Waadt,17.5,23.3,19.1,17.1,16.6,16.2,17.6
2018,Wallis,13.8,16.4,15.0,14.0,13.0,12.3,12.4
2018,Neuenburg,12.5,14.3,12.6,12.2,12.6,12.4,12.8
2018,Genf,19.1,20.8,19.7,18.9,18.4,18.2,22.2
2018,Jura,10.9,8.9,11.9,10.9,11.0,10.1,10.2
2019,Schweiz,16.4,19.3,18.0,16.5,15.6,15.4,16.1
2019,Zürich,19.2,23.2,21.5,19.3,18.1,17.8,19.1
2019,Bern,15.0,16.5,16.2,15.1,14.5,13.8,14.4
2019,Luzern,15.5,21.1,17.4,15.9,14.7,14.4,14.2
2019,Uri,13.1,,13.8,13.7,13.1,11.8,11.4
2019,Schwyz,16.6,14.4,17.9,17.0,16.4,15.9,17.0
2019,Obwalden,14.2,13.5,14.8,14.3,13.9,14.2,14.4
2019,Nidwalden,15.7,16.7,17.4,16.5,15.0,14.8,14.7
2019,Glarus,12.7,8.8,14.6,13.0,12.7,12.2,11.2
2019,Zug,19.5,22.3,21.5,20.1,18.7,18.4,19.1
2019,Freiburg,14.6,17.2,16.9,14.5,14.0,13.7,12.0
2019,Solothurn,13.9,16.3,15.4,13.9,13.5,12.5,14.2
2019,Basel-Stadt,18.2,20.1,19.1,17.7,17.7,18.3,19.4
2019,Basel-Landschaft,16.8,16.7,18.3,17.0,16.6,15.2,16.9
2019,Schaffhausen,13.6,13.8,16.0,13.4,12.9,14.7,12.1
2019,Appenzell A.Rh.,12.9,13.6,11.3,13.4,13.3,12.2,12.8
2019,Appenzell I.Rh.,14.8,,14.7,15.7,15.2,13.7,11.4
2019,St.Gallen,14.2,16.0,15.6,14.5,13.7,13.3,13.3
2019,Graubünden,15.2,16.6,17.3,15.8,14.5,13.3,14.3
2019,Aargau,15.2,18.1,17.2,15.5,14.5,14.4,14.0
2019,Thurgau,13.6,17.4,14.3,14.0,13.3,12.3,11.8
2019,Tessin,13.8,12.8,13.9,13.7,13.8,13.8,14.8
2019,Waadt,17.6,22.3,19.1,17.4,16.7,16.2,17.4
2019,Wallis,13.9,16.6,15.0,14.0,13.2,12.4,13.8
2019,Neuenburg,12.6,14.5,13.0,12.3,12.4,13.0,14.7
2019,Genf,19.5,21.3,20.4,19.5,19.0,18.6,21.2
2019,Jura,11.8,11.2,13.7,11.5,12.0,10.5,13.8
2020,Schweiz,16.5,20.4,18.2,16.6,15.6,15.6,16.5
2020,Zürich,19.3,25.5,21.6,19.2,18.0,17.8,19.8
2020,Bern,15.1,17.7,16.3,15.2,14.4,14.4,14.8
2020,Luzern,15.4,19.5,17.4,15.9,14.6,14.2,14.4
2020,Uri,13.0,13.9,13.2,13.8,12.5,12.1,14.1
2020,Schwyz,16.7,21.6,19.1,16.7,16.0,16.6,16.0
2020,Obwalden,14.5,25.5,17.7,14.5,13.4,13.7,11.8
2020,Nidwalden,16.1,17.3,19.1,16.8,15.0,15.6,14.5
2020,Glarus,13.3,13.2,14.5,14.0,13.1,11.6,12.3
2020,Zug,19.4,20.4,22.3,19.3,18.7,19.4,18.3
2020,Freiburg,14.7,19.4,16.9,14.8,13.6,13.7,13.3
2020,Solothurn,14.0,16.5,15.1,14.0,13.6,13.2,14.1
2020,Basel-Stadt,18.2,21.4,19.3,17.7,17.6,18.1,18.7
2020,Basel-Landschaft,17.0,18.3,18.2,17.2,16.1,16.5,17.9
2020,Schaffhausen,13.7,14.9,15.5,13.7,13.2,13.1,14.8
2020,Appenzell A.Rh.,13.1,12.7,13.1,13.9,13.4,11.5,12.8
2020,Appenzell I.Rh.,14.6,,15.9,14.0,15.5,13.8,9.9
2020,St.Gallen,14.2,17.3,15.8,14.7,13.7,13.0,12.4
2020,Graubünden,15.2,18.9,17.0,15.4,14.6,13.0,12.3
2020,Aargau,15.4,17.7,17.1,15.7,14.6,14.1,14.4
2020,Thurgau,13.8,15.8,15.2,14.2,13.4,13.0,12.9
2020,Tessin,14.0,13.1,13.9,14.1,13.8,14.5,15.7
2020,Waadt,18.0,23.7,19.7,17.7,16.9,16.5,18.3
2020,Wallis,14.1,17.1,15.5,14.2,13.2,12.4,12.9
2020,Neuenburg,12.8,12.8,13.1,12.6,12.8,12.8,14.3
2020,Genf,19.7,21.8,21.0,19.7,18.7,19.0,21.3
2020,Jura,11.6,13.1,12.5,11.0,11.8,12.2,8.7
2021,Schweiz,16.7,20.3,18.7,16.8,15.8,15.6,16.2
2021,Zürich,19.6,25.2,22.5,19.7,18.1,18.1,18.4
2021,Bern,15.2,18.2,16.5,15.3,14.7,14.1,13.9
2021,Luzern,15.6,21.2,17.7,16.1,14.7,14.3,14.3
2021,Uri,13.6,20.4,14.7,13.7,13.5,12.8,10.8
2021,Schwyz,16.8,15.8,18.9,17.4,16.4,16.0,15.3
2021,Obwalden,14.9,,15.9,15.0,14.9,13.7,12.5
2021,Nidwalden,15.8,15.4,18.0,16.2,15.7,14.6,12.0
2021,Glarus,13.3,13.0,14.4,13.9,13.3,11.3,12.0
2021,Zug,19.4,24.4,22.7,19.7,18.3,18.5,18.3
2021,Freiburg,15.1,18.3,17.5,15.2,14.0,14.1,13.2
2021,Solothurn,14.1,15.8,15.6,14.0,13.7,13.6,14.8
2021,Basel-Stadt,18.5,21.0,19.8,18.0,17.8,18.8,19.1
2021,Basel-Landschaft,17.0,15.5,18.1,17.3,16.7,16.4,15.9
2021,Schaffhausen,14.2,16.6,16.7,14.4,13.3,12.9,14.2
2021,Appenzell A.Rh.,13.5,10.8,15.9,14.0,12.9,13.1,11.9
2021,Appenzell I.Rh.,14.8,,16.8,15.2,15.3,14.2,11.3
2021,St.Gallen,14.5,17.0,16.4,14.9,14.0,13.3,12.5
2021,Graubünden,15.4,16.1,17.7,15.7,14.9,12.8,13.2
2021,Aargau,15.5,17.8,17.5,15.8,14.9,14.1,14.2
2021,Thurgau,13.9,17.1,15.8,14.4,13.3,12.5,13.2
2021,Tessin,14.0,12.9,14.2,14.1,13.9,14.3,14.7
2021,Waadt,18.1,23.7,20.1,18.0,16.7,16.3,18.0
2021,Wallis,14.2,17.0,16.1,14.0,13.3,12.7,14.4
2021,Neuenburg,13.0,14.9,13.5,12.9,13.0,12.5,13.7
2021,Genf,19.9,22.8,20.7,19.7,19.2,19.2,21.7
2021,Jura,11.8,11.0,12.5,12.2,11.9,10.0,8.7
2022,Schweiz,16.9,21.3,18.9,17.0,15.9,15.7,16.4
2022,Zürich,19.8,26.0,22.4,20.0,18.4,18.1,18.2
2022,Bern,15.4,19.0,16.9,15.4,14.7,14.4,13.8
2022,Luzern,15.9,20.3,18.5,16.3,15.0,14.4,15.1
2022,Uri,13.6,19.3,14.6,14.3,12.8,13.3,12.2
2022,Schwyz,17.0,22.2,19.0,17.4,16.3,16.1,18.1
2022,Obwalden,14.4,16.8,16.9,14.5,13.8,13.9,12.0
2022,Nidwalden,15.8,19.9,18.3,16.5,15.2,13.7,17.1
2022,Glarus,13.6,13.8,13.3,14.0,13.5,13.0,14.6
2022,Zug,19.8,25.9,22.5,20.0,18.7,18.8,20.6
2022,Freiburg,15.1,19.1,17.6,15.2,14.1,13.4,14.1
2022,Solothurn,14.0,16.3,15.8,14.0,13.6,13.1,14.5
2022,Basel-Stadt,18.7,22.1,19.8,18.2,17.9,17.5,22.1
2022,Basel-Landschaft,17.6,20.2,19.1,17.4,17.1,16.5,18.1
2022,Schaffhausen,14.0,17.6,16.0,13.9,13.6,13.4,12.3
2022,Appenzell A.Rh.,13.5,11.5,13.8,13.8,13.6,12.7,12.8
2022,Appenzell I.Rh.,14.8,,15.2,15.9,15.2,12.9,12.2
2022,St.Gallen,14.8,16.7,16.7,15.1,14.3,13.5,13.4
2022,Graubünden,15.6,17.9,17.8,15.8,15.0,13.6,14.5
2022,Aargau,15.6,19.4,17.6,15.9,15.0,14.2,13.9
2022,Thurgau,14.1,17.9,16.1,14.6,13.6,12.8,11.7
2022,Tessin,14.1,13.5,14.6,14.2,13.9,13.3,14.0
2022,Waadt,18.4,24.6,20.4,18.1,17.0,16.6,17.9
2022,Wallis,14.5,17.4,16.2,14.5,13.6,13.0,13.0
2022,Neuenburg,13.1,14.9,13.5,13.0,12.9,13.0,14.2
2022,Genf,20.3,23.9,21.4,20.3,19.4,19.4,21.9
2022,Jura,11.7,13.8,12.2,12.2,11.4,10.2,11.5
2024,Schweiz,17.8,22.6,20.0,17.9,16.7,16.5,17.1
2024,Zürich,21.3,28.6,24.3,21.4,19.5,18.9,20.2
2024,Bern,16.1,19.8,17.7,16.3,15.3,14.7,15.0
2024,Luzern,17.0,24.3,19.6,17.4,16.0,15.5,14.7
2024,Uri,14.0,17.2,16.0,14.5,13.5,12.8,12.0
2024,Schwyz,18.2,22.9,20.6,18.7,17.3,17.0,17.5
2024,Obwalden,15.9,20.4,18.0,15.8,15.2,15.8,12.8
2024,Nidwalden,17.0,16.9,18.9,17.9,16.6,15.7,13.6
2024,Glarus,14.7,17.1,16.1,14.6,15.2,13.4,10.4
2024,Zug,21.5,26.3,25.3,21.7,20.3,20.5,21.5
2024,Freiburg,15.8,20.5,18.4,15.9,14.7,14.5,14.8
2024,Solothurn,14.9,16.7,16.5,15.2,14.3,13.9,14.0
2024,Basel-Stadt,19.7,23.6,21.1,19.0,18.9,19.4,20.6
2024,Basel-Landschaft,18.2,18.7,19.2,18.4,17.6,17.4,19.2
2024,Schaffhausen,14.6,19.9,17.4,14.8,13.5,14.0,12.3
2024,Appenzell A.Rh.,13.9,16.0,13.9,14.2,14.6,13.1,11.7
2024,Appenzell I.Rh.,15.4,,15.0,15.4,15.4,15.4,15.6
2024,St.Gallen,15.5,18.8,17.3,15.8,14.9,14.3,13.7
2024,Graubünden,16.5,23.2,18.4,16.6,15.6,14.5,14.2
2024,Aargau,16.7,21.3,19.2,17.0,15.8,14.7,14.9
2024,Thurgau,14.9,16.2,17.1,15.5,14.4,13.0,13.2
2024,Tessin,14.6,14.0,15.5,14.5,14.0,14.7,16.3
2024,Waadt,19.1,25.2,21.2,18.9,17.5,17.5,17.4
2024,Wallis,15.2,18.6,18.0,15.3,13.8,13.1,12.9
2024,Neuenburg,13.7,15.6,14.3,13.4,13.6,13.0,15.9
2024,Genf,21.1,24.3,22.0,21.0,20.5,20.3,23.3
2024,Jura,12.3,11.9,14.1,11.9,12.5,11.5,11.3
